,LEO,MEO,GEO,GTO,HEO
0-200kg,74,0,0,0,0
200-400kg,11,1,0,0,1
400-600kg,6,0,0,1,0
600-800kg,4,0,0,0,0
800-1000kg,10,0,0,0,0
1000-1200kg,8,0,0,0,1
1200-1400kg,6,0,0,0,2
1400-1600kg,6,4,3,0,2
1600-1800kg,5,0,1,0,0
1800-2000kg,3,0,1,0,2
2000-2200kg,3,0,0,0,0
2200-2400kg,2,0,2,2,0
2400-2600kg,2,0,0,0,1
2600-2800kg,3,0,0,0,1
2800-3000kg,4,0,0,0,0
3000-3200kg,2,0,0,0,0
3200-3400kg,3,5,1,0,0
3400-3600kg,2,0,4,1,0
3600-3800kg,2,0,2,1,0
3800-4000kg,3,1,3,0,1
4000-4200kg,1,0,1,0,0
4200-4400kg,1,5,1,3,0
4400-4600kg,1,0,8,2,0
4600-4800kg,0,0,0,1,0
4800-5000kg,2,0,5,5,0
