Mass_Range,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
0-1t,0.0,0.4,0.0,4.9325,0.0,2.812,0.0
1-2t,1.46,19.755308,0.0,10.43765,0.0,2.72025,0.0
2-3t,0.0,27.902872,0.0,13.163,0.0,7.005,0.0
3-4t,0.0,70.345758,0.0,14.565,0.0,19.6,0.0
4-5t,0.0,83.07872400000001,0.0,13.7,0.0,35.556,0.0
5-6t,5.049,77.567,0.0,79.0532,0.0,10.615,0.0
6-7t,0.0,66.094,0.0,12.527,0.0,6.1,0.0
7-8t,0.0,43.44,0.0,30.160224999999997,0.0,8.0,0.0
8-9t,0.0,60.2,0.0,0.0,0.0,8.8,0.0
9-10t,0.0,0.0,0.0,10.0,0.0,10.0,0.0
10-11t,21.9,53.0,0.0,251.46494,0.0,0.0,0.0
11-12t,11.87,0.0,0.0,0.0,0.0,0.0,0.0
12-13t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-14t,123.608,0.0,0.0,0.0,0.0,13.6,0.0
14-15t,438.577,0.0,0.0,0.0,0.0,0.0,0.0
15-16t,1596.507,0.0,0.0,0.0,0.0,47.25,0.0
16-17t,1777.36,0.0,0.0,0.0,0.0,16.2,0.0
17-18t,242.64,0.0,0.0,0.0,0.0,70.4,0.0
