Mass_Range,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-1t,4.6415,1.283,0.0,0.0,0.0,0.0,3.22
1-2t,13.15925,8.907958,2.932,3.4,1.443,0.0,5.974
2-3t,15.823,26.961872,2.84782,0.0,0.0,0.0,7.894
3-4t,22.211299999999998,13.990458,13.6,54.709,3.7,0.0,0.0
4-5t,9.55,8.936724,26.952,92.544,0.0,0.0,0.0
5-6t,112.3772,0.0,0.0,59.907,0.0,0.0,5.7
6-7t,19.195,0.0,0.0,71.991,6.84,0.0,0.0
7-8t,45.660225,0.0,0.0,28.74,0.0,7.2,0.0
8-9t,69.0,0.0,0.0,0.0,0.0,0.0,0.0
9-10t,10.0,10.0,0.0,0.0,9.2,0.0,0.0
10-11t,326.36494,0.0,0.0,0.0,0.0,0.0,0.0
11-12t,11.87,0.0,0.0,0.0,0.0,0.0,0.0
12-13t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-14t,68.484,68.724,0.0,0.0,0.0,0.0,0.0
14-15t,438.577,0.0,0.0,0.0,0.0,0.0,0.0
15-16t,1550.267,15.86,0.0,0.0,0.0,0.0,0.0
16-17t,1777.395,16.165,0.0,0.0,0.0,0.0,0.0
17-18t,313.04,0.0,0.0,0.0,0.0,0.0,0.0
